"year_range","sex","average_bench"
"1964-1964","M","127.32"
"1965-1969","M","143.14"
"1970-1974","M","134.55"
"1975-1979","F","47.09"
"1975-1979","M","132.10"
"1980-1984","F","54.30"
"1980-1984","M","134.09"
"1985-1989","F","64.60"
"1985-1989","M","143.55"
"1990-1994","F","67.23"
"1990-1994","M","144.40"
"1995-1999","F","71.59"
"1995-1999","M","150.00"
"2000-2004","F","73.59"
"2000-2004","M","149.55"
"2005-2009","F","75.39"
"2005-2009","M","158.10"
"2010-2014","F","64.52"
"2010-2014","M","134.88"
"2015-2019","F","61.61"
"2015-2019","M","135.13"
"2016-2019","Mx","68.59"
"2020-2023","F","64.81"
"2020-2023","M","131.36"
"2020-2023","Mx","60.47"
