"year_range","sex","average_squat"
"1964-1964","M","190.29"
"1965-1969","M","208.90"
"1970-1974","M","199.12"
"1975-1979","F","84.07"
"1975-1979","M","197.73"
"1980-1984","F","101.96"
"1980-1984","M","201.43"
"1985-1989","F","122.06"
"1985-1989","M","222.01"
"1990-1994","F","124.99"
"1990-1994","M","223.54"
"1995-1999","F","127.06"
"1995-1999","M","221.22"
"2000-2004","F","128.13"
"2000-2004","M","218.80"
"2005-2009","F","128.58"
"2005-2009","M","224.29"
"2010-2014","F","110.13"
"2010-2014","M","189.90"
"2015-2019","F","111.25"
"2015-2019","M","193.27"
"2017-2019","Mx","103.66"
"2020-2023","F","116.09"
"2020-2023","M","194.70"
"2020-2023","Mx","105.55"
